"","x"
"1",-2.42271923947256
"2",3.20195534600746
"3",-2.31373756481732
"4",-1.88801937234157
"5",3.34450833169809
"6",2.39228794535136
"7",1.83225777679992
"8",-1.84404649925049
"9",2.26608046206913
"10",2.26252546557233
"11",-3.19605832486333
"12",2.0373620500178
"13",1.95054949482319
"14",2.52372169361508
"15",3.85825311423305
"16",-2.40668774795287
"17",-2.9241891266578
"18",-2.14234576613884
"19",-1.93841810302353
"20",2.07976295776379
"21",-2.05963136998175
"22",2.5345304116127
"23",-1.64979200652909
"24",-1.3389311782329
"25",1.6681595556863
"26",1.8053307351879
"27",2.02763709014494
"28",2.54493702299464
"29",-2.14808670706692
"30",4.43413656946735
"31",-2.20667084199752
"32",2.51723600391845
"33",-1.81023338620585
"34",1.93501315035085
"35",-2.82511200706702
"36",3.28766304086657
"37",-1.74624587636224
"38",2.31778202015524
"39",-2.30515285867411
"40",-2.61747584714388
"41",2.83743506766432
"42",4.43907473624359
"43",-3.01204014056547
"44",-2.41401849831798
"45",2.3578604292631
"46",1.73283927511362
"47",2.01487019472781
"48",-3.17652098966931
"49",-1.92971757580613
"50",1.40989019833691
"51",2.05910888502887
"52",1.54674961590321
"53",-1.89361784370497
"54",-1.70354659158475
"55",-1.46401591093082
"56",-2.52988619955683
"57",1.81056662165751
"58",1.72415483146159
"59",-1.87095249120562
"60",1.68614754661101
"61",2.05720946108275
"62",1.27117471082657
"63",3.29744633697212
"64",1.38865862882896
"65",-1.3370745547319
"66",2.41256199077133
"67",-1.42461130900176
"68",1.38275935243198
"69",2.9801631050234
"70",4.32640777615812
"71",1.48922391524151
"72",-2.66975909664192
"73",1.14188898922783
"74",-1.33084139978359
"75",2.10488854182586
"76",2.86562585513901
"77",-1.91025660516619
"78",-3.43610918544342
"79",4.22670314152856
"80",1.74021926027217
"81",-1.94451433585108
"82",-1.58287883694329
"83",-3.28311258381373
"84",-1.52007282786751
"85",-3.3636567993418
"86",1.53740403893138
"87",1.67569487585355
"88",1.72304030542068
"89",-1.7083605317571
"90",1.39132775328733
"91",-2.58022994795324
"92",1.95677043153871
"93",-1.64273183310682
"94",-1.35592776118775
"95",-3.10048884501812
"96",2.42014865343042
"97",1.74119412385795
"98",1.92240040833193
"99",1.84664194743466
"100",-1.50764330904015
"101",-1.9482524999733
"102",-1.40313136336935
"103",-1.18098787442794
"104",1.85633936507288
"105",-2.68630819014149
"106",-1.6137581638862
"107",-1.47517609537968
"108",2.36777271973743
"109",3.86329422855306
"110",-1.22519578046923
"111",-2.53280647587677
"112",1.28379347783181
"113",1.50607086837596
"114",2.050891583411
"115",1.57257792698572
"116",-1.03012530625641
"117",-3.23340373471665
"118",-1.85342990582591
"119",1.5485203146025
"120",-1.64964804995301
"121",2.65534841498596
"122",2.35381530119611
"123",-1.28570159427756
"124",2.83420145513541
"125",-1.89110241662517
"126",2.13206737907851
"127",2.27794331488566
"128",2.83088460997294
"129",-1.57938242075307
"130",-1.74229970795214
"131",3.41302170345439
"132",-2.79230082364854
"133",-2.03750868029085
"134",-3.32923741728525
"135",-1.50606742251621
"136",2.03263249152567
"137",5.09735332203113
"138",2.13136943611487
"139",-3.09766103181094
"140",-3.02314009564731
"141",-1.74444145979482
"142",-1.43654751130716
"143",-2.02417343821882
"144",1.72034861206786
"145",-1.36860141656628
"146",2.17982979377765
"147",-2.06902762991672
"148",-1.54579702496871
"149",-2.72049306958519
"150",5.52533661138903
"151",-1.01647209016826
"152",1.09975936191375
"153",-2.99316984518003
"154",-1.3448815704824
"155",2.8082146197651
"156",1.32446365476422
"157",1.71995059255725
"158",1.67884326116983
"159",-1.00330192978428
"160",3.50771136348777
"161",1.42947650475769
"162",1.54280726882981
"163",1.46011820297438
"164",-1.69881909590155
"165",7.47916568575078
"166",-1.9856603586085
"167",-3.10889812481683
"168",2.15452232847218
"169",-1.20897759497145
"170",1.45380413926274
"171",-1.05868183015002
"172",-1.75351824026892
"173",1.32523688113918
"174",-0.98825121526191
"175",-1.05787565273549
"176",1.62321277598525
"177",-3.1689976872433
"178",1.03363762574231
"179",1.80811839037324
"180",1.61349394105632
"181",-1.26418730740318
"182",1.61939777148493
"183",-2.3782928819043
"184",-1.55950415467193
"185",1.40556424592027
"186",-1.97322411661267
"187",1.91563311284338
"188",1.75776345192893
"189",-1.39013017794577
"190",1.13270774541526
"191",-2.19696953726589
"192",-2.53736074338827
"193",1.1405790382385
"194",-3.06334360998379
"195",1.97002714130356
"196",1.1653239710393
"197",1.44995612035662
"198",-2.54495894932035
"199",-1.65755720334203
"200",-1.59121459319044
"201",4.01054310969177
"202",-3.10771858190976
"203",-1.48883912744609
"204",-1.11098041956025
"205",-1.79259333161121
"206",-1.89412540528246
"207",-2.13885806171195
"208",-2.08679697714344
"209",1.04719561652476
"210",-2.45277601860183
"211",1.80789895914017
"212",-1.92923573274717
"213",-1.25066284596825
"214",2.03805120024663
"215",-2.60090358342781
"216",-2.02783183753677
"217",2.03191724653629
"218",-1.63652025641423
"219",-2.57259579577465
"220",-1.28493645278672
"221",1.52420420840418
"222",1.47071757724401
"223",1.20921997316816
"224",-1.21291838782537
"225",4.79254759634587
"226",1.84493643047927
"227",-1.53811627918854
"228",-1.49727046027336
"229",-2.41742148094027
"230",1.11916995999026
"231",1.24018258433088
"232",1.61109105985735
"233",-3.03236821343074
"234",-0.912827155157255
"235",-1.21109966463208
"236",-1.94726997817225
"237",-2.18043253882272
"238",-1.58967533090258
"239",-0.968905072860297
"240",-1.1728919297438
"241",-1.12665801977897
"242",1.92278426783169
"243",1.74256160740051
"244",-3.18369269392921
"245",0.98780343645248
"246",-2.73533208665193
"247",-1.67301179946511
"248",-1.19258973715863
"249",1.50802309714914
"250",-1.55143336919668
"251",3.29631501664483
"252",-1.22649686006532
"253",1.63286372423449
"254",-1.75491947607255
"255",3.13690163020887
"256",-3.00416047357157
"257",2.29706369411065
"258",-0.798603372965609
"259",-1.26360906916657
"260",-2.30396361180706
"261",-1.233044673685
"262",1.37954615941606
"263",-1.63898221681142
"264",-1.87215627831566
"265",1.0984136792312
"266",1.1654104750208
"267",-3.19981705205271
"268",-0.910283427892896
"269",0.968015547360841
"270",-3.28379920742005
"271",-0.987652038843074
"272",-2.99419452371246
"273",0.910907810520864
"274",-2.53980794408531
"275",1.52419413978146
"276",1.10493549317011
"277",-1.745275955692
"278",1.65045493305173
"279",-2.83279348073367
"280",-0.959145949387558
"281",1.26962402419683
"282",1.11222796299161
"283",1.72774504611176
"284",-3.38030726976247
"285",-2.20541188051665
"286",1.22013008960209
"287",-3.03835479385366
"288",-1.14996176193465
"289",-2.56031478378556
"290",2.42435629926987
"291",-0.821816480820984
"292",0.713984060658944
"293",-2.02575148852049
"294",3.79055529846943
"295",-1.32533352172961
"296",1.24968630669918
"297",-2.89694781958808
"298",3.56367290531761
"299",-1.06261530333784
"300",-0.794597399010419
"301",-0.93335134138012
"302",4.38603178029935
"303",-1.59465706508602
"304",0.994396184274299
"305",1.60970072274531
"306",-1.81659428499037
"307",-1.69020844025634
"308",-3.24452209883773
"309",-2.36416749908479
"310",0.752887902832068
"311",-1.17279045456095
"312",1.32641292102093
"313",-1.03339378140881
"314",2.59794153305796
"315",3.53230156273418
"316",-1.13649112800229
"317",-1.45276924476813
"318",0.893410802863699
"319",-0.984919519506443
"320",1.37548770454155
"321",-2.81373707391727
"322",-3.12240029434527
"323",4.46985055153199
"324",-1.23402523215915
"325",-3.00238727854492
"326",2.02107463308573
"327",1.2102561533947
"328",-3.52266962040846
"329",-2.953024627071
"330",1.22094811760395
"331",1.31659117757782
"332",1.61357673844206
"333",-2.38462725732881
"334",-1.56815726544613
"335",-0.804864927448768
"336",-1.69959534389588
"337",1.11779130216814
"338",0.758770080743169
"339",2.58688975359066
"340",1.30945169437752
"341",1.17316789723748
"342",-2.94098455064371
"343",1.64047750071472
"344",-1.21016321961801
"345",-1.29162831688925
"346",1.69951106616301
"347",-1.05460030705472
"348",-1.3266900155167
"349",-1.97210529038412
"350",-3.08544701948256
"351",-0.998141117110948
"352",-2.23026019493853
"353",-2.24190763979475
"354",1.73441911518397
"355",-1.81742731588278
"356",1.06228341680605
"357",1.94224858501811
"358",2.028794348901
"359",1.4645155640469
"360",1.00770769302117
"361",-1.44578275431932
"362",-3.17264055001924
"363",-1.42150585684551
"364",1.22318971502599
"365",1.24627475538138
"366",-1.03262354012453
"367",-0.852133173687554
"368",1.0699177570445
"369",-1.4206153083192
"370",1.28662024121959
"371",1.21891410072524
"372",-1.07688151616692
"373",1.31578829202758
"374",-0.901706981970015
"375",-0.781798886385044
"376",-2.76607222904593
"377",-1.19533434103488
"378",-1.27297106736776
"379",1.05828456986699
"380",4.66280108692994
"381",-0.874751217606331
"382",0.826553580306849
"383",-2.46315174319157
"384",1.46153571482564
"385",1.38060885044069
"386",-1.31368005349217
"387",-1.06551751041287
"388",2.55684237526929
"389",1.94416698243281
"390",-0.954830880736844
"391",-1.39897972929345
"392",3.76489178106176
"393",0.90077087470228
"394",1.05140314631789
"395",1.62550187433657
"396",-0.821720624388232
"397",-2.71783588356986
"398",1.7482209649337
"399",1.15264001114681
"400",0.973616328548032
"401",1.68730153228898
"402",-2.02544525049766
"403",-2.48274457515619
"404",3.00573498686786
"405",1.20616622699714
"406",0.845311051073723
"407",1.08996936796839
"408",1.44476531216783
"409",-1.57624459409195
"410",-1.52005310861392
"411",-1.9504985693633
"412",1.22967070251138
"413",-0.789995893526247
"414",-2.72622711905077
"415",1.27328906489977
"416",1.35895429041204
"417",1.13965284013561
"418",1.69863983747705
"419",1.60128479994666
"420",1.4012090766441
"421",-0.758048442887683
"422",-0.960912097521247
"423",0.818605083372495
"424",1.0136201829717
"425",-1.26513375553675
"426",2.64612251103312
"427",2.48774453824132
"428",1.31975187614624
"429",1.98275065183465
"430",1.34462131681744
"431",1.17542163859791
"432",1.49321865479126
"433",1.52643670978528
"434",-2.10265733273775
"435",-1.14011709988406
"436",-1.81081429365077
"437",-1.66843326288189
"438",0.990076050262196
"439",2.21057723040858
"440",0.982910330399128
"441",-1.70221778803429
"442",-1.12861055952582
"443",-0.987265410684959
"444",1.39702346797383
"445",-0.975377148262227
"446",1.08726497188886
"447",1.76742510676027
"448",-0.721188312283334
"449",-1.174904622319
"450",-1.55490678072992
"451",1.50669823226353
"452",-1.06290591252404
"453",0.900897683686057
"454",-1.57403190939044
"455",2.92350515948261
"456",1.60317838621754
"457",-0.897829687738816
"458",-1.58763540100545
"459",1.21239062596345
"460",-1.03517179136611
"461",-2.01784808726147
"462",-1.14792931235908
"463",1.65057922213693
"464",0.645607976138154
"465",-0.828306247200749
"466",-2.50819525809264
"467",0.866013333695379
"468",-1.01613657810733
"469",1.31456313711389
"470",2.60025229686919
"471",-0.733460250434139
"472",-3.25943932130491
"473",1.0362465055474
"474",0.798668578070809
"475",1.34482275940529
"476",1.28024196199171
"477",1.34135648299401
"478",-2.84256636322075
"479",-1.14974070477315
"480",-1.08275083783921
"481",-1.07782373853337
"482",2.59864157977609
"483",1.54669176440333
"484",-0.795967293493831
"485",0.981954689396776
